id,name,data,length,alias,language,imdb,star,cnumber,region
30234548,战火中的女神 Commander Arian,['2018-06-17(上海国际电影节)'],['85'],[],['西班牙语 / 库尔德语'],['https://www.imdb.com/title/tt7389858'],[''],[],['西班牙 / 德国 / 叙利亚']
27006827,爱吃拉面的小泉同学 ラーメン大好き小泉さん,['2018-01-04(日本)'],[],[],['日语'],['https://www.imdb.com/title/tt7829962'],['7.3'],['3003'],['日本']
30238372,레디플레이어:하이라이트,['2018-06-04(韩国)'],[],['Ready Player: Highlight'],['韩语'],[],[''],[],['韩国']
27045739,守护天使 The Guardian Angel,['2018-03-29(芬兰)'],['102'],['The Guardian Angel: Suojelusenkeli / Skytsenglen'],['英语'],['https://www.imdb.com/title/tt6353036'],[''],[],['芬兰 / 丹麦 / 克罗地亚']
30346121,1983,['2018-11-30(波兰)'],[],['一九八三 / 挽歌1983(台) / 1983·局(港)'],['波兰语 / 英语 / 越南语 / 俄语 / 汉语普通话'],['https://www.imdb.com/title/tt7371666'],['8.3'],['538'],['波兰 / 美国']
27604258,亿男 億男,['2018-10-19(日本)'],['116'],[],['日语'],['https://www.imdb.com/title/tt7754284'],['6.2'],['1947'],['日本']
30459528,想谈一场偶像剧般的恋爱 第二季 恋愛ドラマな恋がしたい2,['2018-12-01(日本)'],[],[],['日语'],[],['7.8'],['64'],['日本']
30394701,天生音雄,['2018-12-01(中国大陆)'],[],['京东校园之星天生音雄'],['汉语普通话'],[],[''],[],['中国大陆']
30280006,日本风凉话 日本風涼話,['2018-03-23(中国香港)'],[],[],['粤语'],[],[''],[],['中国香港']
30367689,隐藏之城 La ciudad oculta,['2018-11(西班牙)'],['80'],['马德里地下交响曲(港) / The Hidden City'],['西班牙语'],['https://www.imdb.com/title/tt9303764'],[''],[],['西班牙 / 法国 / 德国']
27114204,海龙屯,['2018-07-13(中国大陆)'],['81'],['海龙囤 / Hailongtun Tusi Fortress'],['汉语普通话'],[],[''],[],['中国大陆']
30302005,给人类的魔术 第一季 Magic for Humans Season 1,['2018-08-17(美国)'],[],['Magic for Humans with Justin Willman'],['英语'],['https://www.imdb.com/title/tt8425308'],['8.4'],['221'],['美国']
30175221,暴走曼谷,['2018-06-30(中国大陆)'],['90'],['爱·革命 / Love Revolution'],['粤语 / 日语 / 英语 / 泰语 / 汉语普通话'],['https://www.imdb.com/title/tt6330414'],[''],[],['中国香港']
30241896,双胞胎猴子 วายุพหุยุทธ์,['2018-06-02(泰国)'],[],['双猴记/风暴对决'],['泰语'],[],[''],[],['泰国']
30244736,风 Wind,['2018-06-24(上海电影节)'],[],[],['日语'],[],[''],[],['日本']
30384506,雨中的秋城 Fall City,['2018-11-12(美国)'],['93'],['沦陷雨乡 / 秋城 / 雨乡流年'],['英语'],['https://www.imdb.com/title/tt7475832'],['6.4'],['190'],['美国']
30280012,情事：小姨子的爱 정사 : 처제의 사랑,['2018-07-26(韩国)'],['73'],["An Affair : My Sister-in-law's Love"],['韩语'],[],['5.4'],['119'],['韩国']
30128898,初体验 첫경험,['2018-01-23(韩国)'],['83'],['第一次'],['韩语'],[],[''],[],['韩国']
33377860,好時光,['2018-03-24(台灣第41屆金穗電影節展映)'],[],['A Moment of Serenity'],['汉语普通话'],[],[''],[],['中国台湾']
30306511,Sexy Zone的短短三天可以改变人生吗 Sexy Zoneのたった3日間で人生は変わるのか!?,['2018-04-12(日本)'],[],[],['日语'],[],[''],[],['日本']
30290567,骊山下的考古,['2018-05-25(中国大陆)'],[],[],['汉语普通话'],[],[''],[],['中国大陆']
