ID,name,type
973b12b2-7a5d-42ef-9ad4-c8e0ebf57b67,黄晨怡,1
0762b812-7e14-4c7c-9840-3408795c44b5,黄晨怡,2
923e0929-d569-49a0-8e8b-0ea4c185c3a0,蓝椿艺,2
d951348e-dbf4-4b35-97ad-35ac394baa63,刘毛宁,2
1378326,费利克斯·科尔格雷夫,0
1378326,费利克斯·科尔格雷夫,1
1274771,金希澈,2
1340011,卢洪哲,2
1398892,金永哲,2
a83240f2-c556-48a2-b3f7-87b1126c8366,陈耀辉,0
33184ca6-acf6-44e7-a673-b8d59034e587,徐瑞,1
44a5523c-fd3a-4c8b-8751-b6901184ec49,李煜,1
ddb8f87d-90fa-433e-9acc-8951b1b2cdef,孙聪,2
be2026af-a238-4c44-a5c5-8cdf4e5553e1,武凌,2
c1650ca8-adb7-4c33-b51b-c79033646d65,战天泽,2
52e267f1-eab7-4482-bd07-3cb02e7a1be9,俞琴琴,2
3a579f2b-cfd3-42f4-9f8e-2b9a54a1bd74,左震,2
02129bf5-8eaf-464f-b1ff-4d29053d2c71,李志倫,0
b8bd7c2e-41cf-4e8d-b662-89c3f01c3cb5,鄭月明,1
1275866,田蕊妮,2
1320199,袁文杰,2
1389082,张洁莲,2
1275625,陈荣峻,2
1384702,吴香伦,2
1323260,黄翠如,2
1316260,小肥,2
1275719,江若琳,2
ff30cc8d-bb48-4695-b427-d8ed29165760,萧润邦,2
1315302,郑敬基,2
81891993-75b1-4ccb-b1bc-4d00584a5666,Angie,2
1316211,陈柏宇,2
1356845,符晓薇,2
1315062,黄祥兴,2
fe88603b-bfed-4084-b4f2-f24384caaafd,Peggy,2
1307051,萧正楠,2
1314861,林子善,2
1316515,杨证桦,2
1328780,沈可欣,2
1367536,张崇德,2
1360779,刘美娟,2
1316264,郑子诚,2
1372743,林奕匡,2
461772fa-d8f6-4b38-844d-c18d87951ffd,李靄璣,2
1365542,邓佩仪,2
1385914,冯允谦,2
1052286,雷颂德,2
6d596833-49c9-41b0-b7f6-46db37869da0,梁家玉,2
1318964,吴家乐,2
1050335,陈慧琳,2
c924e8ea-24ff-4878-89ec-b156727d22c5,金建学,2
685e4eb1-9311-44dd-9e6c-3015a35b3181,李抒澔,2
1051245,安藤真裕,0
1315671,濑户麻沙美,2
1321423,大久保瑠美,2
1312902,内山昂辉,2
94e8f7f8-4f79-4d26-b156-01b4c0a57de5,高桥春香,2
1351264,大空直美,2
dbb05485-f8f5-497e-9d5d-d7c204fe6161,Takashi Hirose,0
b057f1f3-4c18-4eb9-87d5-828338b1d4f8,Takashi Hirose,1
df3c09b9-86dc-4fd8-8ed6-1e38afea8c05,Katrina Grey,2
1349821,仁科贵,2
